_id,date,open,high,low,close,volume,symbol,daily_return,ma5,ma10,ma20,ma50,close_to_ma5,close_to_ma20,close_to_ma50,ma5_to_ma20,high_to_low,close_to_open,volatility,true_range,atr14,atr_pct,bollinger_pctb,macd,macd_signal,macd_hist,roc5,roc10,roc20,vol_ma20,volume_ratio,volume_z,prev_close,gap,rsi,market_return,relative_return,daily_return_xrank,rsi_xrank,volume_ratio_xrank,roc10_xrank,dow_sin,dow_cos,target_1d,target_5d,target_10d,target_20d
6a5a8dcb16f18d96738e5530,2001-05-15,22.52915230370696,23.142230949987496,22.023213784529624,22.29106330871582,2367233.0,A,-0.01421446800527959,27.871569442749024,30.95541877746582,35.57642679214477,28.678575687408447,0.7997778290349276,0.6265683575443269,0.7772723284416863,0.7834280153471946,1.050810801997292,0.9894319590157733,0.40994610557924466,1.1190171654578727,9.369112090435866,0.42030799322926227,-0.5306006884344964,-0.035478085983548555,0.028146314062541776,-0.06362440004609032,-0.33569886141115446,-0.4913414860151015,0.46920366205418196,4708135.45,0.5027962821248048,-0.5990192878908425,22.61248779296875,-0.0036853750895489146,40.20910421357464,-0.01421446800527959,0.0,1.0,1.0,1.0,1.0,0.9510565162951535,0.30901699437494745,-0.04299047731668293,-0.23524666933769822,-0.4640853290139012,1.4232313383134767
6a5a8dcb16f18d96738e5540,2001-06-07,19.93994109727652,21.695846005119616,19.93994109727652,21.33275985717773,2929229.0,A,-0.04299047731668293,25.159143447875977,28.870058059692383,35.841003036499025,27.992165164947508,0.8479128032675368,0.5952054363406419,0.7620975270705451,0.7019653834809051,1.0880596832456204,1.0698506952657418,0.4107904572094417,2.3511222114393,7.661038624150069,0.3591208391154878,-0.5978046931438206,-0.06878909538879513,0.008759232172274395,-0.07754832756106952,-0.3886566210650665,-0.4943210009166371,0.3298701687837913,4555082.4,0.6430682790721839,-0.4152914133198411,22.29106330871582,-0.1054737581524553,24.934469565405053,-0.04299047731668293,0.0,1.0,1.0,1.0,1.0,-0.587785252292473,-0.8090169943749475,-0.1796873533127512,-0.20228780734983542,-0.26757810613428756,1.5512690307062185
6a5a8dcb16f18d96738e554b,2001-06-22,17.261443614177413,18.0709458697054,17.118591115219395,17.49953269958496,3436703.0,A,-0.1796873533127512,23.33181228637695,26.14840450286865,35.867490673065184,27.429977931976318,0.7500288651945974,0.487893977702972,0.6379710817340937,0.6505002675694024,1.055632775940479,1.0137931149092343,0.4145855442845328,4.214168741958336,6.12324125506283,0.3499088436635206,-0.7595248075906141,-0.13066837937699033,-0.019126290137578553,-0.11154208923941178,-0.3430166371238338,-0.608652250131355,0.03121741898327679,4664608.7,0.7367612635975216,-0.31913644519268863,21.33275985717773,-0.19084807958975747,32.608690974850106,-0.1796873533127512,0.0,1.0,1.0,1.0,1.0,-0.9510565162951536,0.30901699437494723,0.10544202894996557,-0.09863975213895504,-0.04421766426509288,1.2427718535663645
6a5a8dcb16f18d96738e5550,2001-06-29,18.74949708068044,20.297075166700715,18.33284162526852,19.34471893310547,5617723.0,A,0.10544202894996557,20.616112518310548,25.41925754547119,34.70680723190308,27.339206562042236,0.9383301001360382,0.5573753528601653,0.707581578204536,0.5940077511197802,1.1071428843662414,1.0317460164156023,0.23715733670146466,2.797542467115754,5.881963643974446,0.3040604343373415,-0.613396135706875,-0.14242574240263992,-0.04378618059059083,-0.09863956181204908,-0.4124292751022406,-0.2737429783557993,-0.5454546106432293,4840407.2,1.1605889273117327,0.20431977429481474,17.49953269958496,0.07142844279555205,31.88252123504867,0.10544202894996557,0.0,1.0,1.0,1.0,1.0,-0.9510565162951536,0.30901699437494723,-0.09230784551365756,-0.26153841944725864,1.1846158870938033,0.6923071150143929
6a5a8dcb16f18d96738e555b,2001-07-17,16.81502205373084,17.820947355624366,16.672168014501292,17.559049606323242,2932165.0,A,-0.09230784551365756,19.605424880981445,24.864956855773926,33.50148258209229,26.97016897201538,0.8956219874837019,0.5241275384769954,0.6510544897969386,0.5852106642471138,1.0689040159285124,1.0442477886601904,0.23783947355586904,2.672550918604177,5.84168009865634,0.33268771524090907,-0.6146221109182244,-0.18414050461913178,-0.07185704539629903,-0.11228345922283275,-0.22347997411487164,-0.2399356479879552,-0.5785714403428119,4855771.2,0.6038515570914861,-0.5067989624278021,19.34471893310547,-0.13076937932335397,31.549229358496234,-0.09230784551365756,0.0,1.0,1.0,1.0,1.0,0.9510565162951535,0.30901699437494745,-0.029152186525329804,-0.33728794707391563,1.6355938107512173,0.7796612828949305
6a5a8dcb16f18d96738e556c,2001-08-09,17.231684729810645,17.231684729810645,16.678126878499608,17.047164916992188,1616368.0,A,-0.029152186525329804,18.55664520263672,23.214107322692872,32.30776481628418,26.59982213973999,0.9186555393850713,0.5276491582953261,0.6408751464963769,0.5743710622636403,1.0331906481472295,0.9892918292317547,0.2378593427801209,0.8809227278236342,5.739853374467141,0.3367042789255095,-0.5718273452586861,-0.2118789449410619,-0.0998614253052516,-0.1120175196358103,-0.235246668994622,-0.4919734914735151,-0.5834180934661194,4840672.8,0.3339139137848765,-0.8466122974696945,17.559049606323242,-0.018643656329114355,32.05591198905954,-0.029152186525329804,0.0,1.0,1.0,1.0,1.0,-0.587785252292473,-0.8090169943749475,-0.0017458778753727255,-0.29923198868894485,1.6776355758489592,0.7087119564485405
6a5a8dcb16f18d96738e556d,2001-08-10,17.05311656705023,17.142399775217182,16.3745632326949,17.01740264892578,2393516.0,A,-0.0017458778753727255,17.69357376098633,21.42635860443115,30.915391159057616,26.321139011383057,0.9617843669790823,0.5504508274169289,0.6465298722483475,0.5723224934865243,1.046892031325772,0.9979057242725643,0.23643096726300303,0.7678365425222822,5.563518158362704,0.32693109929114755,-0.5179187633606273,-0.2274009888059297,-0.12536933800538724,-0.10203165080054247,-0.20228780697589777,-0.5123239324990494,-0.6206965393759643,4922763.35,0.4862139066668714,-0.6776023123646092,17.047164916992188,0.00034912785108431876,29.49728189904559,-0.0017458778753727255,0.0,1.0,1.0,1.0,1.0,-0.9510565162951536,0.30901699437494723,-0.0731027838987135,-0.0818469365473029,2.4627478958627336,0.6002095928512032
6a5a8dcb16f18d96738e557c,2001-08-31,15.416250416519102,15.92218897129722,15.386489885229926,15.773383140563965,1439521.0,A,-0.0731027838987135,17.34834384918213,20.34007806777954,28.3038547039032,25.955077056884765,0.9092155002574168,0.5572874543062111,0.6077186016407059,0.6129321968523394,1.034816197827769,1.0231659907022865,0.19995625006333242,1.6309127636958554,4.388591944287967,0.2782276891645186,-0.5906667270910984,-0.26163840043275194,-0.1526231504908602,-0.10901524994189174,-0.09863975162387828,-0.40782131285895906,-0.7680525100592532,4952400.95,0.2906713358901195,-0.9492235971473686,17.01740264892578,-0.09408910833797901,39.289900148464625,-0.0731027838987135,0.0,1.0,1.0,1.0,1.0,-0.9510565162951536,0.30901699437494723,-0.09433939448684059,0.06037773176381034,3.5801911275782583,0.7500001046972635
6a5a8dcb16f18d96738e557f,2001-09-06,14.49366026075865,14.612704004046824,13.80915516577742,14.28533172607422,3933972.0,A,-0.09433939448684059,16.33646640777588,18.476289463043212,26.905082273483277,25.561486282348632,0.8744444092591651,0.530952909772137,0.5588615451657158,0.6071888662390247,1.0581895719210184,0.9856262296209095,0.18492550780581254,1.964227974786544,4.249883414746783,0.29749980562332407,-0.6001494868819077,-0.30801293059761947,-0.18370110651221205,-0.12431182408540742,-0.26153841906552056,-0.5661015935811825,-0.661971889467893,4841427.7,0.8125644425093845,-0.24551332406801155,15.773383140563965,-0.0811317950999979,40.94175034293289,-0.09433939448684059,0.0,1.0,1.0,1.0,1.0,-0.587785252292473,-0.8090169943749475,-0.18541661882272398,1.9583338430813662,2.8177078995090556,0.8072913622044493
6a5a8dcb16f18d96738e558b,2001-09-28,11.547310613937956,11.85682593527603,11.309221538952336,11.63659381866455,3049178.0,A,-0.18541661882272398,15.15197525024414,17.378700065612794,25.243668174743654,25.135753803253174,0.7679918702874817,0.4609707960627244,0.4629498643692554,0.6002287440698273,1.0484210503749856,1.0077319470857142,0.1863087694238466,2.9761101871218845,3.6413741177156815,0.31292439792354393,-0.6706051255254923,-0.4103624233559564,-0.22903336988096096,-0.18132905347499545,-0.33728794669649653,-0.4853908192143769,-0.7406302009564105,4726945.5,0.6450630750872828,-0.45157736938644316,14.28533172607422,-0.19166661108905447,23.179128170167914,-0.18541661882272398,0.0,1.0,1.0,1.0,1.0,-0.9510565162951536,0.30901699437494723,0.026598337154201346,2.9769818533544306,3.6035797965872858,1.4230180427999595
