iter	RMSE
0	0.09672112246
1	0.09664259406
2	0.09656869894
3	0.09649871438
4	0.09643292073
5	0.09636946037
6	0.09630871907
7	0.09625270564
8	0.09619868785
9	0.09614601902
10	0.09609717794
11	0.0960513727
12	0.09600646334
13	0.0959629966
14	0.09592250775
15	0.09588291866
16	0.09584602204
17	0.09581012705
18	0.09577597897
19	0.0957434211
20	0.09571283965
21	0.09568349433
22	0.0956546293
23	0.09562734976
24	0.095600647
25	0.09557456275
26	0.09554929691
27	0.09552606751
28	0.09550420237
29	0.0954825927
30	0.09546066421
31	0.09543990269
32	0.09542081152
33	0.09540193027
34	0.09538333115
35	0.09536698636
36	0.09534966182
37	0.09533362646
38	0.09531822403
39	0.09530295837
40	0.0952892413
41	0.09527558575
42	0.09526207886
43	0.09524865546
44	0.09523649021
45	0.09522391906
46	0.09521258063
47	0.09519985698
48	0.09518926421
49	0.09517869917
50	0.09516814277
51	0.09515827507
52	0.09514834842
53	0.09513928665
54	0.09512991117
