epoch,train_loss,val_loss
1,0.00406498595503639,0.0038074689595354407
2,0.0011048882059808806,0.001605755125598768
3,0.000940363950644661,0.008530029043833712
4,0.0009298446008505609,0.0025415388258241706
5,0.0012521148949884136,0.003971647264689956
6,0.000982212643166671,0.006917252742946525
7,0.00109452018599335,0.003939264120158072
8,0.0010016687992158257,0.0036926055064828395
9,0.0013266818743646268,0.008655874428930819
10,0.0013235334393144006,0.004859568048453405
11,0.0013251101702294217,0.009663528092622418
12,0.0013478816876527494,0.003593258197656109
13,0.0012439314892678582,0.013410481469189698
14,0.0012169656616277827,0.007980657396193065
15,0.0010215357773086678,0.011699442562766725
16,0.0011174436878243113,0.005047030540683064
17,0.0013347086945076645,0.003828106884493782
18,0.0011137666373471566,0.004209428460622754
19,0.0009674694583898654,0.008385120747875221
20,0.001109328538953768,0.0023592195236257817
21,0.0010820553679463914,0.010382805232114373
22,0.001502895564630796,0.003338135489733808
23,0.0011621744720544012,0.0034830644700009177
24,0.0013614098019831273,0.008582394814751555
25,0.0010301951939439787,0.008638263659628826
26,0.0010740378425361076,0.00984042299843733
27,0.0012404901444164867,0.012066212199695999
28,0.0014035270466930207,0.011915597948874977
29,0.0016702591207503085,0.012795804714551195
30,0.0018236349006478642,0.011636267119438099
31,0.001402979454167505,0.008688436068021818
32,0.0019519316574359796,0.012702382020349456
33,0.0016129537792847956,0.009998228536494787
34,0.0014643987195281619,0.005058667558792827
35,0.0017288578858103464,0.012788037923510765
36,0.0015030337408351527,0.005063756397715691
37,0.0014291907709226026,0.011157243222397802
38,0.0015491666937515296,0.007300489668370967
39,0.001664358337290308,0.005599545990362703
40,0.001350661604912241,0.016989338793555853
41,0.001374643772568169,0.006225659165441332
42,0.0011220855003295604,0.006078571877623216
43,0.0011708903731866554,0.005950960235291072
44,0.001649222864717858,0.0063241762464836156
45,0.0013756417179069248,0.005744833290373208
46,0.0014161503612592338,0.004347842668298777
47,0.0015575010322735204,0.009218772851139924
48,0.0015872052264599874,0.013428705006230597
49,0.0014025364651895802,0.009296197434889256
50,0.0014096852221823347,0.012907250126689276
